Property ID,Society,Society Link,Name,Page Title,Price,Marla,Area (sqft),Bedrooms,Baths,Floor Number,Total Floors,Built Year,Rooms,Other Rooms,Link,Built in year,Parking Spaces,Floors,Bathrooms,Servant Quarters,Kitchens,Store Rooms
49967835,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"5 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 7, DHA Defence, Lahore, Punjab",PKR 8 Crore,1.0,225.0,5,6,,,2024,"{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_brand_new_ultra_modern_design_bungalow_for_sale_in_dha_phase_7_top_location-49967835-1450-1.html,2024,4,2,6,2,2,2
53584570,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"5 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 5 - Block G, DHA Phase 5, DHA Defence, Lahore, Punjab",PKR 11.95 Crore,1.0,225.0,5,7,,,2026,"{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '3', 'Store Rooms': '2'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_g_defence_1_kanal_brand_new_ultra_modern_design_furnished_bungalow_for_sale_phase_5-53584570-1604-1.html,2026,4,3,6,2,3,2
53501367,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"5 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 6, DHA Defence, Lahore, Punjab",PKR 8.65 Crore,1.0,225.0,6,6,,,2025,"{'Bedrooms': '6', 'Bathrooms': '7'}","Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_modern_bungalow_for_sale_near_kfc_tim_s_hortons-53501367-1448-1.html,2025,5,3,7,,,
52715749,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"5 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 6, DHA Defence, Lahore, Punjab",PKR 8.95 Crore,1.0,225.0,5,6,,,2025,"{'Bedrooms': '5', 'Bathrooms': '6'}","Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/dha_defence_dha_phase_6_exquisite_1_kanal_luxury_residence_for_sale_in_dha_phase_6_a_blend_of_class_comfort-52715749-1448-1.html,2025,2,2,6,,,
52234706,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"3 Bedroom House for sale in DHA Defence, Lahore","DHA 9 Town, DHA Defence, Lahore, Punjab",PKR 2.15 Crore,5.0,1125.0,3,5,,,,{},"Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/dha_defence_dha_9_town_5-marla_semi_furnished_corner_spanish_villa_near_park_for_sale_in_dha-52234706-1452-1.html,,,,,,,
53364136,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"6 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 3 - Block X, DHA Phase 3, DHA Defence, Lahore, Punjab",PKR 7.3 Crore,1.0,225.0,6,6,,,2,"{'Bedrooms': '6', 'Bathrooms': '7', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Powder Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/dha_phase_3_dha_phase_3_-_block_x_1_kannal_double_unit_used_house_for_sale_in_dha_lahore_phase_3_block_x_lahore-53364136-1585-1.html,2,3,2,7,1,2,1
53461483,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"4 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 7 - Block Y, DHA Phase 7, DHA Defence, Lahore, Punjab",PKR 4.3 Crore,10.0,2250.0,4,5,,,2025,"{'Bedrooms': '4', 'Bathrooms': '5', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Powder Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_10_marla_brand_new_house_for_sale_in_dha_lahore_phase_7_block_y-53461483-1632-1.html,2025,3,2,5,2,2,1
53341316,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"6 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 5, DHA Defence, Lahore, Punjab",PKR 7.25 Crore,1.0,225.0,6,7,,,2025,"{'Bedrooms': '6', 'Bathrooms': '8', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '2'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/dha_defence_dha_phase_5_brand_new_fully_furnished_1-kanal_luxury_house_for_sale_in_dha_phase_5_prime_location-53341316-1447-1.html,2025,5,2,8,2,2,2
53325970,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"6 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 1, DHA Defence, Lahore, Punjab",PKR 14.75 Crore,2.0,450.0,6,7,,,2025,"{'Bedrooms': '6', 'Bathrooms': '8', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '3'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/dha_defence_dha_phase_1_2_kanal_full_basement_brand_new_bungalow_for_sale_with_swimming_pool_for_sale_phase_1-53325970-1442-1.html,2025,5,2,8,2,2,3
49542639,DHA Defence,https://www.zameen.com/Houses_Property/Lahore_DHA_Defence-9-1.html,"5 Bedroom House for sale in DHA Defence, Lahore","DHA Phase 6, DHA Defence, Lahore, Punjab",PKR 7.9 Crore,1.0,225.0,5,6,,,2023,"{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_luxurious_bungalow_in_dha_phase_6_at_a_prime_location-49542639-1448-1.html,2023,4,2,6,1,2,1
