property_id,society,society_link,name,page_title,bedrooms,baths,built_year,address,description,features,link,parking_spaces,floor,floors_in_building,price,area,area_sqft,servant_quarters,kitchens,store_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"4 BHK Flat for sale in Askari, Lahore","Askari 10, Askari, Lahore, Punjab",4.0,4.0,2026.0,"Askari 10, Askari, Lahore, Punjab",12 Marla 4 Bed Apartment: . 4 Bedrooms . 4 Bathrooms . 1 servant quarter . 1 Storeroom . 1 Laundry room . Lounge sitting . Dinning room . 1 Kitchen . 1 Powder room,Built in year : 2026 | Parking Spaces : 2 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor : 3 | Floors in Building : 9 | Elevators : 3 | Service Elevators in Building | Broadband Internet Access | Satellite or Cable TV Ready | Community Lawn or Garden | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places | Maintenance Staff | Security Staff | Other Facilities,https://www.zameen.com/Property/askari_askari_10_brand_new_open_view_beautiful_4_bed_apartment_available_for_urgent_sale-53895072-1011-1.html,2,3,9,4.55,12.0,3264.0,1.0,1.0,1.0,13939.950980392157,1,1,1,1,1,1,1,0,0,0
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"4 BHK Flat for sale in Askari, Lahore","Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",4.0,5.0,2025.0,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab","This Apartment is located in the Lush green Serene Environment of Sector S Askari 10. This apartment is located near to Mosque, Kids play Area, Market, School, KFC Macdonald's, Ring Road, Hospital, DHA. The community is very well secured with walls all around and CCTV cameras installed.",Built in year : 2025 | Parking Spaces : 1 | Lobby in Building | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor : 3 | Floors in Building : 10 | Elevators | Service Elevators in Building | Other Main Features | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | Conference Room in Building | ATM Machines | Other Business and Communication Facilities | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Other Community Facilities | Other Healthcare and Recreation Facilities | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places | Maintenance Staff | Security Staff | Other Facilities,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4_bedroom_apartment_in_sector_s_askari_10-53966793-21434-1.html,1,3,10,4.5,12.2,3318.3999999999996,1.0,1.0,,13560.752169720348,1,1,0,0,1,1,0,0,0,1
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"3 BHK Flat for sale in Askari, Lahore","Askari 11 - Sector D, Askari 11, Askari, Lahore, Punjab",3.0,4.0,2024.0,"Askari 11 - Sector D, Askari 11, Askari, Lahore, Punjab",ALI REAL ESTATE OFFERS 10 MARLA 3 BEDROOM FLAT REASONABLE PRICE AVAILABLE FOR SALE WITH GAS IN ASKARI 11 SEC D Main Features Built in year: 2024 View: VERY GOOD Parking Spaces: 4 Lobby in Building Double Glazed Windows Central Air Conditioning Central Heating Flooring: Tiles Electricity Backup: Ups Waste Disposal Elevators: 2 Service Elevators in Building Other Main Features: yes Furnished Rooms Bedrooms: 3 Bathrooms: 4 Servant Quarters: 1 Drawing Room Dining Room Kitchens: 1 Study Room Prayer Room Powder Room Gym Store Rooms: 1 Steam Room Lounge or Sitting Room Laundry Room Other Rooms: yes Business and Communication Broadband Internet Access Satellite or Cable TV Ready Business Center or Media Room in Building Conference Room in Building Intercom ATM Machines Other Business and Communication Facilities: yes Community Features Community Lawn or Garden Community Swimming Pool Community Gym First Aid or Medical Centre Day Care Centre Kids Play Area Barbeque Area Mosque Community Centre Other Community Facilities: yes Healthcare Recreational Sauna Jacuzzi Other Healthcare and Recreation Facilities: yes Nearby Locations and Other Facilities Nearby Schools: Army public school Nearby Hospitals: Shabaz sharif hospital Nearby Shopping Malls: DOLMEN MALL Nearby Restaurants: kababjes Distance From Airport (kms): 5 KM Nearby Public Transport Service: Badian Road Lahore Other Nearby Places: yes Ad Information,Built in year : 2024 | Parking Spaces : 4 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Elevators : 2 | Service Elevators in Building | Other Main Features | Furnished | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | Conference Room in Building | Intercom | ATM Machines | Other Business and Communication Facilities | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Other Community Facilities | Sauna | Jacuzzi | Other Healthcare and Recreation Facilities | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_10_marla_3_bedroom_flat_reasonable_price_available_for_sale_with_gas_in_askari_11_sec_d-53723344-21437-1.html,4,,,3.55,10.0,2720.0,1.0,1.0,1.0,13051.470588235294,1,1,1,1,1,1,1,1,1,1
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"4 BHK Flat for sale in Askari, Lahore","Askari 11, Askari, Lahore, Punjab",4.0,4.0,2023.0,"Askari 11, Askari, Lahore, Punjab",RIASAT ESTATE OFFERS ! 4-BEDS APARTMENT AVAILABLE FOR SALE IN ASKARI 11 4 BEDS WITH ATTACHED BATHS NEAR TO PARK & MOSQUES NEAR TO DOLMEN MALL NEAR TO RING ROAD ALL FACILITIES AVAILA BLE DIRECT FROM OWNER ONE CALL DEAL DONE FOR MORE DETAILS CONTACT PLEASE !,Built in year : 2023 | Parking Spaces : 2 | Lobby in Building | Flooring | Electricity Backup | Elevators | Other Main Features | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | Conference Room in Building | Intercom | ATM Machines | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Sauna | Jacuzzi | Other Healthcare and Recreation Facilities | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places,https://www.zameen.com/Property/askari_askari_11_4-beds_apartment_available_for_sale_in_askari_11-53970026-1503-1.html,2,,,4.45,7.6,2067.2,1.0,2.0,1.0,21526.70278637771,1,1,0,0,1,0,0,0,0,1
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"4 BHK Flat for sale in Askari, Lahore","Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab",4.0,5.0,2025.0,"Askari 10 - Sector S, Askari 10, Askari, Lahore, Punjab","This Apartment is located in the Lush green Serene Environment of Sector S Askari 10. This apartment is located near to Mosque, Kids play Area, Market, School, KFC Macdonald's, Ring Road, Hospital, DHA. The community is very well secured with walls all around and CCTV cameras installed.",Built in year : 2025 | Lobby in Building | Flooring | Electricity Backup | Floor : 3 | Floors in Building : 10 | Elevators | Other Main Features | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | Conference Room in Building | Intercom | ATM Machines | Other Business and Communication Facilities | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Other Community Facilities | Other Healthcare and Recreation Facilities | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_4_bedroom_brand_new_apartment_in_sector_s_askari_10-53960222-21434-1.html,,3,10,4.65,12.2,3318.3999999999996,1.0,1.0,1.0,14012.77724204436,1,1,0,0,1,1,0,0,0,1
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"3 BHK Flat for sale in Askari, Lahore","Askari 10, Askari, Lahore, Punjab",3.0,3.0,,"Askari 10, Askari, Lahore, Punjab","Beautiful View 3 Bed 10 Marla Modern Apartment Available For Sale in Askari 10 Elegant & Secure Living! Feature: Gated Community 2 Lift with Generator Backup 3 Bed With Attached Baths TV Lounge Drawing & Dining Area 1 Kitchen 1 Servant Quarter Laundry Area 1 Store Room Tiles Flooring Solid Wood Doors Beautiful False Ceiling Design 2 Cars Parking Near To Masjid, Parks And Commercial Zone For More Information Contact Us",Built in year | Parking Spaces : 2 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Elevators | Service Elevators in Building | Other Main Features | Furnished | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | Conference Room in Building | Intercom | ATM Machines | Other Business and Communication Facilities | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Other Community Facilities | Sauna | Jacuzzi | Other Healthcare and Recreation Facilities | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places | Maintenance Staff | Security Staff | Facilities for Disabled | Other Facilities,https://www.zameen.com/Property/askari_askari_10_beautiful_view_3_bed_10_marla_modern_apartment_available_for_sale_in_askari_10-53720926-1011-1.html,2,,,3.9,10.0,2720.0,2.0,1.0,1.0,14338.235294117647,1,1,1,1,1,1,1,1,1,1
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"4 BHK Flat for sale in Askari, Lahore","Askari 10, Askari, Lahore, Punjab",4.0,5.0,2025.0,"Askari 10, Askari, Lahore, Punjab","Paramount Property Solution presents a brand new, state-of-the-art luxury apartment in Sector S, Askari 10, near the airport. Key features of the property include: Features: - 4 spacious bedrooms with attached baths - Balcony in each bedroom - Spacious TV lounge/living room - Dedicated drawing room - Store and powder room - Servant room with independent entrance - Well-ventilated apartment with a pleasant view Location highlights: - Prime location with easy access - Close proximity to Lahore Ring Road and airport - Excellent, secure, and comfortable family living environment - Nearby amenities include shopping malls, hospitals, and more For inquiries, please call View Contact Detail .",Built in year : 2025 | Parking Spaces | Flooring | Electricity Backup | Floor : 4 | Floors in Building : 9 | Elevators : 3 | Other Main Features | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | ATM Machines | Other Business and Communication Facilities | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Other Community Facilities | Other Healthcare and Recreation Facilities | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places | Security Staff | Other Facilities,https://www.zameen.com/Property/askari_askari_10_4_bedroom_luxury_brand_new_apartment_for_sale_in_askari_10_at_a_prime_location-53861019-1011-1.html,TRUE,4,9,4.95,12.0,3264.0,1.0,1.0,1.0,15165.441176470587,1,1,0,0,0,0,0,0,0,1
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"3 BHK Flat for sale in Askari, Lahore","Askari 11 - Sector B Apartments, Askari 11, Askari, Lahore, Punjab",3.0,4.0,2026.0,"Askari 11 - Sector B Apartments, Askari 11, Askari, Lahore, Punjab",Home Property Offerd You All In One Brand New Basement Car Parking Flat For Sale. 3 Bedrooms . 3 Bathrooms 1 Kitchen Tv Lounge Drawing And Dining Room Laundry Contact For More Details.,Built in year : 2026 | Parking Spaces : 3 | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor : 2 | Floors in Building : 8 | Elevators : 2 | Service Elevators in Building | Other Main Features | Furnished | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | Conference Room in Building | Intercom | ATM Machines | Other Business and Communication Facilities | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Other Community Facilities | Sauna | Jacuzzi | Other Healthcare and Recreation Facilities | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places | Maintenance Staff | Security Staff | Laundry or Dry Cleaning Facility | Facilities for Disabled | Pets Not Allowed | Other Facilities,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_10_marla_brand_new_flat_for_sale-53621499-15703-1.html,3,2,8,3.0,10.0,2720.0,1.0,1.0,1.0,11029.411764705883,1,1,1,1,1,1,1,1,1,0
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"4 BHK Flat for sale in Askari, Lahore","Askari 11, Askari, Lahore, Punjab",4.0,4.0,,"Askari 11, Askari, Lahore, Punjab","With Gas 04 Beds 12 Marla Prime Location Apartment for Sale in Sector B Askari 11 Lahore. Askari 11 is Part of DHA phase 5 extensions. Some Features are A. 04 Bedrooms with Attached Baths B. TV Lounge, Kitchen C. Large Living room and Drawing room D. Nicely organized E. Servant room with attached bath. F. Powder Room G. Dedicated Covered Parking for One Vehicle. Open Space for more than 1 vehicle. H. 24 Hrs. Security, Gated Community. I. 2 Heavy-Duty Lifts in Each Building with Generator Backup. J. Schools(Roots International School & College) & (APS LGS), Lahore Airport, Hospitals(PKLI & INDUS) K. Maintenance staff & Security Staff here and all Other Facilities are available here. For More Contact Faiz Rasool from Unique Associate",Built in year | Parking Spaces | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Waste Disposal | Floor | Floors in Building | Elevators | Other Main Features | Furnished | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | Conference Room in Building | Intercom | ATM Machines | Other Business and Communication Facilities | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Other Community Facilities | Sauna | Jacuzzi | Other Healthcare and Recreation Facilities | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places | Maintenance Staff | Security Staff | Facilities for Disabled | Other Facilities,https://www.zameen.com/Property/askari_askari_11_4_bed_apartment_available_for_sale-53909841-1503-1.html,TRUE,TRUE,TRUE,3.0,12.0,3264.0,,,,9191.176470588236,1,1,0,0,1,1,0,0,0,1
1,Askari,https://www.zameen.com/Flats_Apartments/Lahore_Askari-3555-1.html,"3 BHK Flat for sale in Askari, Lahore","Askari 11 - Sector B Apartments, Askari 11, Askari, Lahore, Punjab",3.0,3.0,2022.0,"Askari 11 - Sector B Apartments, Askari 11, Askari, Lahore, Punjab","It's best to buy this property in order to get lucrative return on your investment. This Flat available for sale is perfect for investment purposes. Take our word and book your Flat today, as you won't get a better Rs. 24500000 than this. A modern lifestyle awaits you in Askari 11 - Sector B Apartments. Think no more, as the city centre of Lahore is high in demand thanks to its location, proximity to main roads and facilities. 10 Marla property is the best option for investment, so take a decision today. Following are some details of the property. Now you can plan mealtimes with more detail with a separate dining room that comes with this Flat. With central heating system at Flat, the indoor temperature is maintained at all times. The community swimming pool offers a good opportunity for kids' activity. The Flat remains pleasant during summers as well with double glazed windows. Having a kids play area adjoining the property is a relief for parents of hyperactive kids. Thanks to central air conditioning, the temperature in the Flat is always maintained. The community lawn adjoining the Flat is great to get some fresh air. We are just a phone call away, contact us now.",Built in year : 2022 | Parking Spaces : 2 | Lobby in Building | Double Glazed Windows | Central Air Conditioning | Central Heating | Flooring | Electricity Backup | Waste Disposal | Floor : 1 | Floors in Building : 1 | Elevators : 2 | Service Elevators in Building | Other Main Features | Furnished | Broadband Internet Access | Satellite or Cable TV Ready | Business Center or Media Room in Building | Conference Room in Building | Intercom | ATM Machines | Community Lawn or Garden | Community Swimming Pool | Community Gym | First Aid or Medical Centre | Day Care Centre | Kids Play Area | Barbeque Area | Mosque | Community Centre | Sauna | Jacuzzi | Nearby Schools | Nearby Hospitals | Nearby Shopping Malls | Nearby Restaurants | Distance From Airport (kms) | Nearby Public Transport Service | Other Nearby Places | Maintenance Staff | Security Staff | Laundry or Dry Cleaning Facility | Facilities for Disabled | Pets Allowed | Other Facilities,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_askari_11_-_sector_b_apartments_flat_sized_10_marla-51573104-15703-1.html,2,1,1,2.45,10.0,2720.0,1.0,1.0,1.0,9007.35294117647,1,1,1,1,1,1,1,1,1,1
